Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Average
Afghanistan,,356.5,350.6,345,339.7,334.1,328.7,323.3,318.1,313,307.8,302.1,296.4,290.8,284.9,279.4,273.6,267.8,261.6,255.5,249.1,242.7,236.2,229.7,222.9,216,209.2,202.1,195,187.8,181,174.2,167.8,162,156.8,152.3,148.6,145.5,142.6,139.9,137,133.8,130.3,126.8,123.2,119.6,116.3,113.2,110.4,107.6,105,102.3,99.5,96.7,93.9,91.1,91.1
Arab World,249.3602248,241.9929445,236.4965356,241.3065209,234.4430505,227.9244187,221.7696222,215.8872513,210.2638132,204.7737933,199.6166276,194.4015036,187.5188265,181.5520145,175.275756,167.9252035,160.974603,153.7929544,146.5378567,139.2770651,131.9475076,124.5177418,117.0562334,112.7874572,105.9565466,99.72888058,94.36897051,89.80372369,85.96933483,82.77491276,80.00945465,77.59969992,75.34190558,73.28555647,71.27951034,69.3767146,67.50939984,65.74535427,63.94597792,62.19083836,60.41298861,58.62792927,56.85263894,55.08782173,53.34421135,51.64207454,49.90845331,48.17508862,46.38904897,44.67246774,42.99430548,41.51584812,40.19674209,38.96433979,37.78932047,36.76414509,143.062185
United Arab Emirates,204.6,193.8,183.3,172.7,162.2,151.3,140.4,129.4,118.6,108.2,98.4,89.1,80.6,72.8,65.8,59.4,53.5,48.2,43.4,39,35.2,31.9,29,26.5,24.4,22.7,21.1,19.7,18.5,17.4,16.5,15.6,14.8,14.2,13.6,13,12.6,12.2,11.8,11.5,11.1,10.9,10.6,10.3,10.1,9.8,9.6,9.4,9.1,8.8,8.5,8.2,7.8,7.4,7.1,6.8,105.7
Argentina,,,,,,,,,,73.2,72.4,71.5,70.4,68.8,66.6,63.8,60.2,55.9,51.4,47,43.1,40,37.6,35.8,34.4,33.1,31.9,30.8,29.7,28.6,27.6,26.6,25.7,24.8,24.1,23.4,22.7,22,21.4,20.8,20.2,19.7,19.2,18.6,17.9,17.1,16.4,15.8,15.4,15,14.6,14.2,13.8,13.3,12.9,12.5,12.5
Australia,24.9,24.3,23.7,23.2,22.7,22.4,22.1,22,21.9,21.7,21.4,20.9,20.2,19.3,18.4,17.3,16.2,15.3,14.4,13.6,13,12.6,12.2,11.9,11.6,11.3,11,10.6,10.2,9.7,9.2,8.6,8.1,7.7,7.3,7,6.8,6.6,6.5,6.4,6.2,6.1,6,6,5.9,5.7,5.6,5.4,5.2,5,4.8,4.5,4.3,4.1,3.9,3.8,14.35
Austria,42.8,40.3,37.9,35.9,34.2,32.8,31.5,30.5,29.8,29.4,29.1,28.7,28,26.8,25.1,23.1,21.1,19.4,18.1,17.1,16.3,15.5,14.7,14,13.3,12.6,11.9,11.1,10.5,10,9.5,9,8.5,8,7.4,6.8,6.4,6.1,5.8,5.6,5.5,5.4,5.3,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.2,4,3.9,3.7,3.5,23.15
Burundi,,,,,241.6,243,244.5,245.8,246.7,247.3,247.6,247.5,247.3,247.1,246.9,246.5,245,242,236.9,230.2,221.8,212.3,202.3,192.6,184.2,177.5,172.9,170.6,170.1,170.7,171.8,172.9,173.5,173.5,172.5,170.5,167.7,164.4,160.5,156.4,152.2,147.8,143.2,138.3,133,127.1,120.9,114.5,108.6,103.5,98.8,94.9,91.2,87.8,84.6,81.7,81.7
Belgium,33.9,32.4,31.1,30,28.9,27.9,27,26.2,25.5,24.8,23.9,23,21.9,20.8,19.6,18.6,17.6,16.7,15.9,15.2,14.5,13.9,13.3,12.7,12.2,11.8,11.4,11,10.7,10.3,10,9.6,9.2,8.7,8.2,7.6,7.1,6.7,6.3,6,5.8,5.6,5.4,5.2,5.1,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1,19
Benin,314,309.2,303.9,298.2,292.5,286.9,281.4,276.9,272.8,269,265.5,261.8,257.8,253.4,248.3,242.7,237,231.3,226.1,221.5,217.4,213.7,210.2,206.8,203.3,199.7,196.1,192.2,188.1,183.9,179.5,175,170.4,166.2,162.4,159.1,156.2,153.6,150.9,147.9,144.7,141.1,137.1,133.1,129.2,125.5,122.1,119,116.3,113.9,111.6,109.3,107,104.8,102.1,99.5,206.75
Burkina Faso,347.6,343.1,338.7,334.5,331,328,325.2,322.9,321.4,320.1,319.1,317.3,313.9,307.9,299.2,288.5,277,265.7,255.8,247.8,241.2,236.1,231.8,227.8,223.7,219.2,214.4,209.6,205.8,203.4,202.2,201.8,202.1,202,201.1,199.4,197,194,191.3,188.5,185.7,182.4,178.3,173.1,166.3,158.3,149.4,139.9,130.4,121.4,113.5,106.9,101.4,96.6,92.4,88.6,218.1
Bangladesh,264.3,257.5,251.3,245.6,240.4,236,232.3,229.4,227.1,225.4,224.1,223,222,220.7,219.1,217.1,214.5,211.2,207.4,203.3,198.9,194.2,189.4,184.4,179.1,173.5,167.7,161.8,155.8,149.7,143.7,137.7,131.7,125.8,119.9,114.2,108.6,103.2,97.9,92.8,88,83.5,79,74.8,70.7,66.8,63,59.4,55.9,52.6,49.6,46.7,44,41.6,39.5,37.6,150.95
Bulgaria,,,,46.7,45.7,44.9,44.4,43.9,42.7,40.8,38.8,37.3,36.3,35.6,34.9,34.3,33.5,32.5,31.3,30,28.7,27.6,26.6,25.7,24.7,23.6,22.5,21.7,21.3,21.5,22.1,22.6,22.9,23.1,23.1,23.1,23.1,23.1,22.8,22,21,20.1,19.2,18.1,17,15.9,15,14.2,13.7,13.3,13,12.6,12,11.5,10.9,10.4,10.4
Bahrain,200,183.1,167.2,152.6,138.9,126.3,114.7,104,94.1,85,76.8,69.3,62.7,56.9,51.8,47.4,43.6,40.2,37.2,34.6,32.3,30.3,28.6,27.2,25.9,24.9,24.2,23.6,23.3,23.2,23,22.7,22,21,19.6,18.1,16.6,15.2,14.1,13.2,12.6,12.1,11.8,11.5,11.2,10.9,10.5,10,9.4,8.8,8.3,7.8,7.3,6.9,6.5,6.2,103.1
"Bahamas, The",,,,,,,,,29.4,30,30.6,31.2,31.7,32.1,32.2,32.2,31.9,31.5,31,30.5,29.9,29.4,28.9,28.6,28.2,27.9,27.3,26.5,25.6,24.6,23.5,22.5,21.6,20.6,19.6,18.7,17.8,17,16.4,15.9,15.7,15.5,15.5,15.4,15.4,15.3,15.1,14.8,14.5,14.2,13.9,13.5,13.2,12.8,12.4,12.1,12.1
Belize,,,,,,,,109.9,105.5,101.3,97.3,93.5,89.7,86.3,83,79.9,77,74.2,71.4,68.9,66.4,63.9,61.4,58.9,56.2,53.5,50.6,47.7,44.9,42.2,39.6,37.2,35,33.1,31.5,30.1,28.8,27.8,26.7,25.8,25,24.2,23.5,22.8,22.2,21.7,21.2,20.6,20.1,19.5,19,18.5,18,17.5,17,16.5,16.5
Bolivia,287.1,281.4,276.1,270.8,265.4,260.1,254.5,248.8,243,237.1,231.3,225.3,219.1,212.8,206.4,200.1,193.9,187.9,182.1,176.6,171.6,166.8,162.3,157.8,153.2,148.5,143.8,138.9,134,129.2,124.4,119.7,115.2,110.7,106.2,101.8,97.5,93.1,88.7,84.4,80.2,76.2,72.2,68.5,64.8,61.4,58.1,54.9,52,49.3,47,44.9,43.1,41.3,39.8,38.4,162.75
Brazil,171.9,167.2,162.7,158.4,154.5,150.7,147.2,143.9,140.5,137,133.5,129.8,126.1,122.5,118.9,115.3,111.7,107.9,104,99.7,95.3,90.8,86.5,82.4,78.6,75.1,71.9,68.8,66,63.4,60.8,58.2,55.4,52.5,49.4,46.3,43.2,40.2,37.2,34.5,32,29.6,27.4,25.4,23.6,21.9,20.4,19.2,18.1,17.2,16.6,16.2,16,16,16.2,16.4,94.15
